"","time","lat","lon","address","site_number","no2","o3","pm25","source","year","month","day","pm_diff"
"94","2021-10-16",32.4871,-97.04825,"Worth Court",99159,NA,NA,2.74,"PurpleAir",2021,10,16,-5.536
"95","2021-10-17",32.4871,-97.04825,"Worth Court",99159,NA,NA,18.7865,"PurpleAir",2021,10,17,16.0465
"96","2021-10-18",32.4871,-97.04825,"Worth Court",99159,NA,NA,7.7615,"PurpleAir",2021,10,18,-11.025
"97","2021-10-19",32.4871,-97.04825,"Worth Court",99159,NA,NA,7.685,"PurpleAir",2021,10,19,-0.0765000000000002
"98","2021-10-20",32.4871,-97.04825,"Worth Court",99159,NA,NA,11.0025,"PurpleAir",2021,10,20,3.3175
"99","2021-10-21",32.4871,-97.04825,"Worth Court",99159,NA,NA,11.755,"PurpleAir",2021,10,21,0.752500000000001
"100","2021-10-22",32.4871,-97.04825,"Worth Court",99159,NA,NA,5.396,"PurpleAir",2021,10,22,-6.359
"101","2021-10-23",32.4871,-97.04825,"Worth Court",99159,NA,NA,11.997,"PurpleAir",2021,10,23,6.601
"102","2021-10-24",32.4871,-97.04825,"Worth Court",99159,NA,NA,2.542,"PurpleAir",2021,10,24,-9.455
"103","2021-10-25",32.4871,-97.04825,"Worth Court",99159,NA,NA,5.946,"PurpleAir",2021,10,25,3.404
"104","2021-10-26",32.4871,-97.04825,"Worth Court",99159,NA,NA,11.6825,"PurpleAir",2021,10,26,5.7365
"105","2021-10-27",32.4871,-97.04825,"Worth Court",99159,NA,NA,3.5865,"PurpleAir",2021,10,27,-8.096
"106","2021-10-28",32.4871,-97.04825,"Worth Court",99159,NA,NA,0.353,"PurpleAir",2021,10,28,-3.2335
"107","2021-10-29",32.4871,-97.04825,"Worth Court",99159,NA,NA,0.017,"PurpleAir",2021,10,29,-0.336
"108","2021-10-30",32.4871,-97.04825,"Worth Court",99159,NA,NA,3.4545,"PurpleAir",2021,10,30,3.4375
"109","2021-10-31",32.4871,-97.04825,"Worth Court",99159,NA,NA,5.1375,"PurpleAir",2021,10,31,1.683
"110","2021-11-01",32.4871,-97.04825,"Worth Court",99159,NA,NA,10.5035,"PurpleAir",2021,11,1,5.366
