time,lat,lon,address,site_number,no2,o3,pm25,source,year,month,day,o3_diff,Note
06/23/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.053941,NA,EPA,2019,6,23,0.01047,
07/20/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.062941,NA,EPA,2022,7,20,0.01047,
05/27/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.059824,NA,EPA,2022,5,27,0.010424,
05/25/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.043,NA,EPA,2022,5,25,0.010412,
03/09/2024,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.039059,NA,EPA,2024,3,9,0.010353,
03/27/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.035412,NA,EPA,2020,3,27,0.010294,
09/12/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.048176,NA,EPA,2022,9,12,0.010294,
05/16/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.053059,NA,EPA,2021,5,16,0.010177,
05/18/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.059588,NA,EPA,2022,5,18,0.010176,
05/28/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.049588,NA,EPA,2019,5,28,0.01,
05/23/2024,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.056824,NA,EPA,2024,5,23,0.01,
12/09/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.021882,NA,EPA,2019,12,9,-0.01,
04/14/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.041412,NA,EPA,2023,4,14,-0.01,
10/03/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.014765,NA,EPA,2019,10,3,-0.010059,
05/08/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.046176,NA,EPA,2020,5,8,-0.010074,
01/16/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.020235,NA,EPA,2020,1,16,-0.010118,
03/17/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.014588,NA,EPA,2020,3,17,-0.010118,
03/10/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.034941,NA,EPA,2022,3,10,-0.010177,
10/27/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.023353,NA,EPA,2019,10,27,-0.010235,
02/20/2024,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.034118,NA,EPA,2024,2,20,-0.010235,
04/14/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.038667,NA,EPA,2021,4,14,-0.010392,
06/09/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.035706,NA,EPA,2019,6,9,-0.010412,
07/28/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.053059,NA,EPA,2019,7,28,-0.010412,
08/05/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.039529,NA,EPA,2023,8,5,-0.010412,
07/13/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.035118,NA,EPA,2021,7,13,-0.01047,
10/28/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.017412,NA,EPA,2023,10,28,-0.01047,
08/20/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.044471,NA,EPA,2022,8,20,-0.010529,
09/07/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.044882,NA,EPA,2023,9,7,-0.01053,
03/07/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.026412,NA,EPA,2019,3,7,-0.010588,
01/26/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.025118,NA,EPA,2022,1,26,-0.010588,
10/06/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.035176,NA,EPA,2023,10,6,-0.010589,
12/07/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.014529,NA,EPA,2022,12,7,-0.010647,
06/27/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.039294,NA,EPA,2021,6,27,-0.010706,
06/29/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.030647,NA,EPA,2021,6,29,-0.010706,
09/19/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.038824,NA,EPA,2023,9,19,-0.010764,
01/08/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.021412,NA,EPA,2021,1,8,-0.010882,
06/16/2024,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.038765,NA,EPA,2024,6,16,-0.010941,
03/28/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.042529,NA,EPA,2022,3,28,-0.011,
08/06/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.040529,NA,EPA,2020,8,6,-0.011118,
07/21/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.051765,NA,EPA,2022,7,21,-0.011176,
08/27/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.043588,NA,EPA,2019,8,27,-0.011236,
05/01/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.042882,NA,EPA,2022,5,1,-0.011294,
03/07/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.030235,NA,EPA,2023,3,7,-0.011589,
05/04/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.031059,NA,EPA,2022,5,4,-0.011706,
12/04/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.017235,NA,EPA,2022,12,4,-0.011765,
10/27/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.027882,NA,EPA,2023,10,27,-0.011765,
11/08/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.025059,NA,EPA,2022,11,8,-0.011941,
10/07/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.036706,NA,EPA,2021,10,7,-0.011986,
07/26/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.047471,NA,EPA,2021,7,26,-0.012,
04/22/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.041765,NA,EPA,2023,4,22,-0.012,
01/10/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.023706,NA,EPA,2020,1,10,-0.012059,
08/01/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.033294,NA,EPA,2022,8,1,-0.012059,
03/13/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.023059,NA,EPA,2020,3,13,-0.012117,
