,time,lat,lon,address,site_number,no2,o3,pm25,source,year,month,day,pm_diff,Notes
160,02/20/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,10.574,PurpleAir,2023,2,20,-5.4155,
10,04/01/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,10.572,PurpleAir,2022,4,1,3.107,
327,08/21/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,10.556,PurpleAir,2023,8,21,3.449,
342,09/05/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,10.486,PurpleAir,2023,9,5,-2.4415,
54,05/19/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,10.454,PurpleAir,2022,5,19,1.658,
108,07/12/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,10.436,PurpleAir,2022,7,12,6.344,
239,05/10/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,10.411,PurpleAir,2023,5,10,-5.755,
118,01/04/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,10.3325,PurpleAir,2023,1,4,-2.88,
156,02/16/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,10.289,PurpleAir,2023,2,16,-18.0965,
320,08/14/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,10.285,PurpleAir,2023,8,14,-3.1625,
211,04/12/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,10.171,PurpleAir,2023,4,12,0.04,
210,04/11/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,10.131,PurpleAir,2023,4,11,3.384,
91,06/25/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,10.002,PurpleAir,2022,6,25,6.2215,
111,07/15/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,9.903,PurpleAir,2022,7,15,2.3115,
292,07/02/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,9.886,PurpleAir,2023,7,2,1.7315,
69,06/03/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,9.7455,PurpleAir,2022,6,3,3.569,
61,05/26/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,9.7185,PurpleAir,2022,5,26,5.673,
120,01/11/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,9.6855,PurpleAir,2023,1,11,-21.0905,
100,07/04/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,9.661,PurpleAir,2022,7,4,2.311,
113,12/30/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,9.66,PurpleAir,2022,12,30,-1.4775,
264,06/04/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,9.5795,PurpleAir,2023,6,4,-9.7105,
29,04/22/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,9.5295,PurpleAir,2022,4,22,0.6715,
171,03/03/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,9.4755,PurpleAir,2023,3,3,-13.2305,
290,06/30/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,9.4565,PurpleAir,2023,6,30,1.5215,
57,05/22/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,9.4485,PurpleAir,2022,5,22,-11.0885,
154,02/14/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,9.289,PurpleAir,2023,2,14,-15.311,
219,04/20/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,9.272,PurpleAir,2023,4,20,2.683,
208,04/09/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,9.2525,PurpleAir,2023,4,9,2.186,
8,03/30/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,9.2445,PurpleAir,2022,3,30,2.821,
88,06/22/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,9.2425,PurpleAir,2022,6,22,-9.2735,
273,06/13/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,9.2285,PurpleAir,2023,6,13,0.9445,
78,06/12/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,9.2025,PurpleAir,2022,6,12,2.514,
137,01/28/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,9.158,PurpleAir,2023,1,28,-39.333,
84,06/18/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,9.148,PurpleAir,2022,6,18,-2.508,
307,08/01/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,8.9705,PurpleAir,2023,8,1,1.423,
151,02/11/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,8.9165,PurpleAir,2023,2,11,-10.6275,
305,07/30/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,8.8955,PurpleAir,2023,7,30,-3.4885,
330,08/24/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,8.894,PurpleAir,2023,8,24,2.9805,
52,05/17/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,8.87,PurpleAir,2022,5,17,-3.243,
28,04/21/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,8.858,PurpleAir,2022,4,21,0.6305,
318,08/12/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,8.84,PurpleAir,2023,8,12,2.5755,
45,05/10/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,8.8245,PurpleAir,2022,5,10,-6.3495,
53,05/18/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,8.796,PurpleAir,2022,5,18,-0.074,
314,08/08/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,8.6615,PurpleAir,2023,8,8,0.672,
181,03/13/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,8.6575,PurpleAir,2023,3,13,-23.1955,
32,04/25/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,8.594,PurpleAir,2022,4,25,1.272,
217,04/18/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,8.445,PurpleAir,2023,4,18,-2.49,
300,07/10/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,8.429,PurpleAir,2023,7,10,3.6375,
147,02/07/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,8.364,PurpleAir,2023,2,7,-3.3475,
295,07/05/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,8.3595,PurpleAir,2023,7,5,-6.254,
272,06/12/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,8.284,PurpleAir,2023,6,12,1.13,
48,05/13/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,8.2685,PurpleAir,2022,5,13,-3.878,
49,05/14/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,8.229,PurpleAir,2022,5,14,-0.0395,
27,04/20/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,8.2275,PurpleAir,2022,4,20,-6.6555,
64,05/29/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,8.193,PurpleAir,2022,5,29,-5.1495,
