,time,lat,lon,address,site_number,no2,o3,pm25,source,year,month,day,pm_diff,Note
107,07/10/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,5.1625,PurpleAir,2021,7,10,2.327,
108,07/11/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,6.8465,PurpleAir,2021,7,11,1.684,
109,07/12/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,8.3065,PurpleAir,2021,7,12,1.46,
110,07/13/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,4.665,PurpleAir,2021,7,13,-3.6415,
111,07/14/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,3.4745,PurpleAir,2021,7,14,-1.1905,
112,07/15/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,4.369,PurpleAir,2021,7,15,0.8945,
113,07/16/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,5.0275,PurpleAir,2021,7,16,0.6585,
114,07/17/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,4.3525,PurpleAir,2021,7,17,-0.675,
115,07/18/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,2.293,PurpleAir,2021,7,18,-2.0595,
116,07/19/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,4.084,PurpleAir,2021,7,19,1.791,
117,07/20/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,4.68,PurpleAir,2021,7,20,0.596,
118,07/21/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,10.1865,PurpleAir,2021,7,21,5.5065,
119,07/22/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,7.801,PurpleAir,2021,7,22,-2.3855,
120,07/23/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,3.9585,PurpleAir,2021,7,23,-3.8425,
121,07/24/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,6.269,PurpleAir,2021,7,24,2.3105,
122,07/25/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,6.0265,PurpleAir,2021,7,25,-0.2425,
123,07/26/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,3.647,PurpleAir,2021,7,26,-2.3795,
124,07/27/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,4.119,PurpleAir,2021,7,27,0.472,
125,07/28/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,5.1345,PurpleAir,2021,7,28,1.0155,
126,07/29/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,9.819,PurpleAir,2021,7,29,4.6845,
127,07/30/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,8.315,PurpleAir,2021,7,30,-1.504,
